연령대,성별,1종_대형,1종_보통,1종_소형,1종_대형견인,1종_소형견인,1종_구난,2종_보통,2종_소형,2종_원자
16 - 19,남,576,134317,0,2,0,3,53786,351,12509
16 - 19,여,37,15066,0,0,0,0,74329,9,199
20 - 24,남,53946,787119,0,36,18,93,350920,1075,12112
20 - 24,여,2764,113867,0,1,3,2,652517,60,434
25 - 29,남,116949,1153995,0,97,39,117,365288,1071,7647
25 - 29,여,5606,219434,0,7,12,1,986182,106,761
30 - 34,남,125125,1174515,0,100,90,100,279269,758,5353
30 - 34,여,6653,365299,0,5,22,1,920287,66,1479
35 - 39,남,205421,1500222,0,151,157,107,237761,829,5719
35 - 39,여,7561,715291,0,11,54,1,948600,40,1973
40 - 44,남,255897,1439645,0,248,188,102,213365,748,5637
40 - 44,여,6284,757457,0,21,47,3,901440,29,1262
45 - 49,남,339260,1584520,0,449,163,99,267428,782,6842
45 - 49,여,6918,827132,0,24,35,3,1023694,8,1744
50 - 54,남,350781,1452477,0,477,131,76,262367,839,9514
50 - 54,여,9116,767771,0,21,23,6,920602,7,3547
55 - 59,남,340466,1361608,0,398,98,42,282307,984,14589
55 - 59,여,8624,651056,0,14,8,4,828521,3,7369
60 - 64,남,273993,1122924,1,295,66,32,262449,981,18944
60 - 64,여,5281,438040,0,3,4,1,637424,4,10174
65 - 69,남,152173,685108,0,158,29,3,206187,674,21919
65 - 69,여,1831,173934,0,0,1,0,338403,2,9809
70 - 74,남,76119,417829,0,62,7,10,196575,564,30122
70 - 74,여,469,53250,0,0,0,0,169230,3,8409
75 - 79,남,34697,196498,4,31,5,0,159620,377,43212
75 - 79,여,75,11328,0,0,0,0,62477,0,5963
80 - 84,남,9748,60198,3,11,0,1,86777,161,36098
80 - 84,여,13,1737,0,0,0,0,17167,0,1978
85 - 89,남,1539,10520,0,1,0,1,24438,38,13856
85 - 89,여,1,214,0,0,0,0,3090,0,299
90 - 94,남,239,1636,0,1,0,0,4851,15,2755
90 - 94,여,0,40,0,0,0,0,425,0,28
95 이상,남,86,413,2,2,0,0,1146,4,381
95 이상,여,0,13,0,0,0,0,68,0,4
